公司名称,职位,薪资,城市,工作地址,经验要求,学历要求,职位描述
字节跳动,测试开发工程师-抖音方向（...,4k-8k,上海,上海市黄浦区局门路436号8号桥二期6号楼,经验不限,本科及以上,职位描述：职位职责：1、深度参与产品研发项目，协同产品和研发团队高质量交付产品；2、参与质量体系规划和建设；3、参与开发效率工具和保证技术项目质量；4、追踪并分析线上线下故障。职位要求：1、本科及以上学历，计算机相关专业；2、热爱计算机科学和互联网技术，对软件质量保障工作有浓厚兴趣；3、扎实的数据结构和算法基础；熟悉至少一门编程语言，包括但不仅限于：Java、OC、C、C++、Pytho、Go、PHP；4、优秀的产品意识，对市场上典型App有自己的想法和改进方案；5、快速适应和学习能力，善于发现和定位问题；6、了解常用客户端、服务端开发或测试工具，如自动化框架、压测工具、大数据处理工具者优先。
哈啰出行,【暑期实习生】站点时空策略...,4k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,"职位描述：工作职责:1、通过数据分析及建模，给城市运营提出有价值的策略建议；2、基于时空分析、运营区优化、站点选址、优化、调度等项目，为城市运营提供策略指导，帮助业务完成指标；3、与城市沟通，帮助城市理解策略，基于数据反馈分析、改进策略；4、承担其他数据分析、数据处理等相关工作；5、按时保质地完成公司交办的各项工作任务，确保工作质量和进度达到目标要求；任职资格:1、熟练使用一种或几种分析统计及数据挖掘工具，如：SQL,pytho、R、GIS等2、能将各类业务需求转化为适合的模型，输出策略3、能熟练编写各类业务需求分析、数据分析文档，完整的覆盖分析、建模要求4、运筹学、数学、统计学、物理学、计算机等相关专业，2020届毕业；"
名片全能王,后端开发实习生,4k-6k,上海,万荣路1268号 市北高新云立方A座11楼,经验应届毕业生,本科及以上,职位描述：工作职责:1.主要负责服务器程序开发，app的后端业务逻辑开发;2.参与项目的需求分析，设计和编码;3.负责对现有平台架构和设计方案的维护和优化，全方位提高后端系统的稳定性和性能;任职资格:1.熟悉Liux常用命令以及shell脚本，熟练掌握至少一门编程语言，但不仅限于：C、C++、Pytho、Go2.计算机基础知识扎实，深入理解数据结构及算法，熟悉HTTP、TCP/IP协议及网络编程3.有开源项目、竞赛获奖、优秀课程设计作品者优先4.优秀的学习和逻辑分析能力，对技术创新有热情
上海博弋,C#软件开发实习生,2k-4k,上海,康健路139号6楼A座,经验不限,本科及以上,职位描述：职位信息描述1.企业管理软件开发、安全应用软件开发等；2.根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。3.进行编制项目文档和质量记录的工作。职位任职要求1.计算机或相关专业本科及以上学历;2.责任心强，有良好的沟通能力以及团队协作精神;3.学习能力强，对新技术有较高的敏感性4.精通ASP.Net、C#、JavaScript、HTML5、XML及其它相关Web软件技术;5.精通数据库应用SQLSERVER等数据库概念;6.有大型企业门户网站、工作流开发工作经验者优先；7.熟悉pytho、.etCore等技术者优先;8.具有良好的编码习惯，代码编写整齐美观。9.一周至少达到3天及以上工作时间。
瞬联软件科技（北京）有限公司,19届校招（应届生）C/C++开发,8k-15k,上海,2号线淞虹路,经验应届毕业生,本科及以上,职位描述：【公司介绍】瞬联软件科技北京有限公司瞬联科技成立于2000年，是一家全球领先的IT服务供应商，提供技术咨询、软件研发及行业级整体技术解决方案。瞬联在移动、电信、嵌入式、IoT、汽车、移动互联网及企业软件方案等领域拥有超过19年的深厚研发经验，通过其优质的交付能力、灵活的合作模式和客户导向的理念赢得了许多世界500强企业客户。公司在大中华地区7个城市、美国、加拿大、欧洲的主要城市设有办公室和研发中心。目前瞬联已拥有超过2000名正式员工。近年来，瞬联9次被国际外包专业协会（IAOP）评为全球外包行业100强公司，同时也屡次得到Garter、IDG和中国外包网等国内外机构的奖项和荣誉。瞬联拥有ISO9001和27001认证以及CMMI3证书（含敏捷开发流程）。2019年瞬联软件科技上海分公司的春季校园招聘将面向2018及2019届的优秀毕业生。【招聘职位】1通信软件自动化测试；2通信软件C/C++开发；3通信软件Java开发；4通信软件Pytho开发；【薪资待遇】本科生：8K—13K硕士：8K—15K【招聘对象】2018及2019届的优秀毕业生学历要求：本科及以上学历；专业要求：计算机/软件工程/通信工程/电子信息工程/数学等相关专业优先。【招聘要求】1.扎实的软件测试基本功，扎实的C/C++/JAVA/Pytho基本功，了解Liux或Uix系统；了解TCP/IP网络协议；2.基本的英语听说读写能力；3.快速学习能力；4.有团队协作精神，沟通良好。【公司网址】http://www.cieet.com.c
ZStack,实习生,4k-6k,上海,东川路555号4号楼5楼,经验应届毕业生,本科及以上,"职位描述：关于我们：上海云轴信息科技有限公司(简称ZStack)成立于2015年，公司总部设立在上海，同时在硅谷和成都设有分支机构，2016年获得阿里云巨额战略投资，并推出以公共云为中心的混合云战略，未来更将向基于IaaS的企业软件仓库分发部署方式进化。作为产品型云计算产品，ZStack可以实现30分钟快速部署，而且是世界已知IaaS产品中，唯一提供一键无缝在线升级的产品，可帮助企业快速推进云计算的落地。在运维上，ZStack支持全UI/API交付、零手工配置，完全实现了部署、运维的产品化，极大的降低了对企业运维能力的要求，云计算的成本负担也大幅缩小。目前，ZStack已经在国内部署超过350家企业用户，管理着5000余物理服务器，在饿了么、大智慧等企业客户中都有成功应用实践。ZStack拥有一群追求卓越和价值的伙伴。ZStack虽然没有乔布斯和比尔盖茨，但有一群名震江湖、来自硅谷、英特尔、微软、思科和阿里巴巴等优秀公司的核心专家级高手,他们也当之无愧是国内虚拟化的开山鼻祖“黄金一代”。ZStack崇尚多元企业文化，既有欧美优秀企业开放宽松的氛围，同时兼具世界级科技创新企业自由、创新的理念，在这里我们一起追求理想，简单做事，快乐成长。如果你对云计算这个行业感兴趣，也和我们一样拥有美好的职业理想，那我们诚邀您加入我们的团队.测试&文档实习岗岗位要求：985/211院校本科/硕士，通信、计算机、软件工程等相关专业；熟悉虚拟化、云计算、计算机网络、操作系统基本原理；熟悉Liux操作系统，熟练使用Shell、Pytho、Mysql，具备代码设计与开发能力；良好的沟通能力及团队合作意识，快速的学习能力和技术钻研能力；具备较强的问题分析能力。我们还有-弹性工作制-水果、饮料、零食无限量-硅谷般的工作环境、开放式办公，再牛的大佬都可以是你的同桌-名震江湖的各路高手不定期开坛授法-入职即享受欧美企业同等级的年假！-各种户外游玩、聚餐等活动-谦逊、优秀的小伙伴-全国美食任选且低成本的餐厅-名校环抱、分分钟可以重温校园生活和美好往昔还有任何疑问吗？欢迎把你的简历甩过来，我们聊聊看吧！"
学而思网校,OCR算法工程师,4k-5k,上海,云南南路118号,经验应届毕业生,本科及以上,职位描述：岗位职责：1、负责机器学习/深度学习算法在教育领域的数据处理、模型效果调优和算法应用；2、工作内容包括但不限于：图像筛选和标注、文本检测、文本识别、图像分类、图像处理等；3、参与相关新技术和发展方向的跟踪研究；岗位要求：1、图像处理相关专业研究生在读，踏实认真，有较强的学习能力；2、较强的算法实现能力，熟练使用Pytho/Java，TesorFlow等深度学习框架；3、善于学习，具备优秀的提出问题，分析和解决问题的能力；4、每周工作不少于4天，连续实习时间不少于六个月，表现优异者可以转为正式员工；5、有OCR相关实践经验者优先，有较强的研究能力者优先（例如在国际顶尖会议或期刊上发表过论文）
360,研发实习生,3k-5k,上海,东大名路501号上海白玉兰广场6楼,经验应届毕业生,硕士及以上,"职位描述：职位描述：1、最新最前沿检索技术调研，设计，开发；2、结合深度学习模型，提升现有检索效果；3、高并发,可扩展分布式研发。职位要求：1、了解深度学习；2、具有一定数学功底；3、对数据结构和算法设计具有较深刻的理解；4、熟悉C/C++,pytho；5、善于学习和运用新知识，具有良好的分析和解决问题能力；6、具有良好的团队合作精神和积极主动的沟通意识。具有以下条件者优先：热爱互联网行业；具有深度学习，模型调优相关经验。"
数旦信息,金融工程实习生,5k-6k,上海,钦州路100号2号楼208室,经验应届毕业生,本科及以上,职位描述：【岗位职责】1、股票、期货、宏观产业经济、基金产品等金融数据进行整理、清洗和基础分析工作2、采用金融工程领域/机器学习领域的常用方法，对数据进行建模3、独立完成相应的编码，测试工作【任职要求】1、具有本科或以上学历，金融工程、数学、物理、统计等专业；2、熟悉Matlab/Pytho/R等数学统计分析软件，精通其中语言的一种；3、掌握机器学习、深度学习、神经网络、智能优化算法优先；4、具备较强的独立工作能力、学习能力和抗压能力；5、具有较强的信息搜集能力、逻辑思维能力；6、为人正直诚信，有高度的责任心和主动性，有良好的职业操守，有敏锐的判断力、独立的逻辑分析能力，具有良好的团队合作精神。7、想改变自己或改变世界的技术狂优先；
艾大,SAS系统工程师,8k-16k,上海,zhon,经验应届毕业生,硕士及以上,"职位描述：工作描述：主要负责SAS软件的安装配置、应用开发；以及和周边对接的Java开发工作。要求：1.计算机相关专业，本科以上学历；2.英语口语流利优先；3.熟练掌握一种编程语言，Java或者Pytho优先；4.熟悉Liux操作系统及Shell/Perl脚本，对计算机系统、网络和安全、存储、中间件、HA等有全面的认识，有性能优化经验者优先；5.熟悉SOA架构，WebSphereMQ,ActiveMQ等JMS技术；6.熟悉Hadoop/Spark的系统架构设计；理解大数据处理技术（流计算、分布式计算、分布式存储等）及实现方法，有大规模分布式系统经验者优先；7.能够快速学习新技术，跟踪技术发展趋势；8.具备良好的表达和沟通能力，善于解决问题，能够承受较大的工作压力；"
谷露软件,NLP文本标注实习生,2k-4k,上海,上海市延安东路618号13A,经验应届毕业生,本科及以上,职位描述：岗位要求：1、具有优秀的自驱力和学习能力，认真仔细且有责任感；2、对文字敏感，逻辑条理清晰；3、每周至少保证3天工作时间。工作职责：1、利用Doccao完成简历文本NER及分块的序列标注工作；2、学习并使用pytho、正则表达式等协助完成数据的清洗、入库。工资待遇：1、200元/天，资优可商2、免费提供午餐、晚餐部门介绍：AI部门主要负责完成文本解析、搜索推荐、对话机器人等项目的研发工作。该部门是一支平均年龄25岁，几乎完全由复旦、交大本硕毕业生组成的团队，年轻且富有生命力。成员间关系融洽，学习氛围浓郁，随时关心并共享NLP前沿成果。
收钱吧,Java开发工程师（实习）,3k-5k,上海,中江路879弄天地软件园4号楼2楼,经验应届毕业生,本科及以上,"职位描述：工作内容：1.开发线上线下通用的交易后台系统。2.保证系统的数据可靠性与服务可用性。3.提高系统可扩展性以适应用户增长。4.提高系统灵活性以适应线下多样的业务模式。5.提高系统开放性以接入第三方开发者。职位基本要求：1.有服务器程序开发经验。2.有基本的网络知识。3.有基本的数据库知识。4.熟悉Java；或熟悉使用其他后端语言并愿意学习Java。5.熟悉Liux；或愿意学习Liux基本使用方法和工具。单项加分项：1.熟悉MogoDB,Redis,MySQL等数据库。2.熟悉NodeJS。综合加分项：1.善于总结和分享，有稳定更新的博客2.有高分的stackoverflow账号3.使用git管理代码4.有github账号，至少有一个自己创建的项目5.熟悉其他开发语言：pytho、odejs、swift、golag等的任何一种6.有DevOps经验或愿意尝试。7.熟练阅读英文文档"
虹软科技,深度学习算法实习生,4k-6k,上海,延安中路841号，东方海外大厦18F,经验应届毕业生,硕士及以上,职位描述：岗位要求:1、硕博在读，图像处理、机器学习、模式识别等相关专业；2、熟悉C/C++，pytho，熟悉至少一种深度学习框架（pytorch/mxet/tesorflow/caffe/caffe2）；3、熟悉CNN/RNN/LSTM的优先；4、有物体检测、识别、分割等相关项目经验者优先；5、工作认真负责，学习能力较强，有熟练的英文文献资料阅读能力，能快速重现论文中的算法；6、有良好的团队协作能力，能够独立思考，善于创新，针对问题提出有效解决方案。至少可实习3个月，每周可实习3个工作日
堆糖,Java开发工程师实习2020届,3k-4k,上海,北京东路668号,经验应届毕业生,本科及以上,职位描述：职责描述：1.在Metor指导下，准时、高质量完成需求开发，或bug修复；2.参与重构和优化现有代码；3.参与网站基础服务和应用的设计和开发。任职要求：1.2020届计算机专业或者对互联网开发有强烈兴趣；2.熟悉数据结构和算法，有扎实编码能力；3.熟悉Java，有Web开发相关经验优先；4.热爱开源，熟悉开源技术，对技术有强烈爱好；5.很强的学习能力，对新事物有好奇心和热情；6.责任感和服务意识，给别人带来快乐。加分项：熟悉Pytho。欢迎大三同学或能长期实习者优先
电视猫MoreTV,测试实习生,2k-4k,上海,盛夏路666号上投盛银大厦E栋2楼,经验应届毕业生,本科及以上,职位描述：岗位职责：1、熟悉互联网APP产品，了解产品功能及业务；2、参与需求评审、用例设计等环节；3、按指导进行用例执行发现问题的追踪处理；4、完成导师交付的其他任务；任职资格：1、本科及以上，计算机科学与技术或相关专业；2、沟通表达能力较好，具备良好的学习能力和质疑习惯，主观能动性高，具有较强的问题细节捕捉、分析和解决能力；3、了解C/C++、Java、VBS、Pytho、Shell等其中一门语言，优先考虑；4、了解数据库，熟悉常用SQL语句的编写，优先考虑
字节跳动,多媒体开发实习生,8k-10k,上海,田林路130号20号楼氪空间,经验不限,本科及以上,职位描述：职位职责：1、参与实时通信流媒体服务器的开发2、参与转码、录制、合流等个性化流媒体方案的开发3、参与流媒体质量评价体系的建设职位要求：1、熟练掌握算法、数据结构等基础知识2、至少熟练使用一门编程语言(C/C++/Java/Pytho/Go/PHP等)3、了解图像、视频压缩、处理算法4、熟悉音视频频、流媒体常见的传输协议、封装格式优先5、每周可实习3天以上，可实习3个月以上
哈啰出行,【暑期实习生】数据算法工程...,4k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,职位描述：工作职责:1.协助项目的需求调研，了解业务逻辑，进行数据分析从而把需要解决的业务问题转化为机器学习/数据挖掘问题2.协助从数据获取、数据清理、统计分析和数据建模（机器学习模型）整个流程工作3.使用先进的机器学习技术，协助制定设计方案，根据设计的方案部署实施整个机器学习系统，解决客户的核心问题4.配合机器学习模型的构建，并且与工程师合作对模型进行维护、部署和评估；任职资格:1.技术数据挖掘或算法实现类的技术开发经验；2.专业：计算机、通信、应用数学、金融数学、模式识别、人工智能；技术领域：机器学习，数据挖掘；3.熟悉常用机器学习和数据挖掘算法，包括但不限于决策树、Kmeas、SVM、线性回归、逻辑回归以及神经网络等算法；4.熟练使用SQL、Matlab、Pytho/LiuxShell等脚本开发等；5.对Hadoop、Spark、Storm等大规模数据存储与运算平台有实践经验；6.熟悉TesorFlow、Keras等一种或者多种深度学习框架，有实际应用经验；7.C/C++/PYTHON/JAVA至少精通一种编程语言；8.数学基础要好，如高数，统计学，数据结构。
名片全能王,运维开发实习生,5k-6k,上海,万荣路1268号 市北高新云立方A座11楼,经验应届毕业生,本科及以上,职位描述：工作职责:1、参与自动化运维系统建设，包括常见组件的运维效率提升、流程优化等2、参与开发和维护内部工具和管理平台，保障其稳定、可靠、高效运行3、参与数据交付项目的开发和维护任职资格:1、本科及以上学历，计算机相关专业。2、熟练使用Shell，掌握至少一种编程语言，有Pytho编程能力者优先。3、熟悉Liux下基本的命令行工具，熟悉Liux系统的使用和管理。4、熟悉网络基础、TCP/IP、HTTP等协议，熟悉操作系统原理。5、熟悉Djago/Flask等其中一种Web框架。良好的编码风格。6、了解Ngix，MySQL，DNS，FTP等常用服务的安装和维护。
Qtum,区块链开发实习生,5k-10k,上海,愚园路,经验应届毕业生,本科及以上,职位描述：1.负责Qtum区块链产品的新特性开发，包括Qtum节点，钱包，浏览器，企业版服务等相关特性；2.探索区块链技术应用场景，加速应用落地；3.探索和实现区块链前沿技术，如闪电网络/跨链/隐私/虚拟机/共识机制等。职位要求：1.211/985计算机相关专业大学本科以上，研二或大三学生优先；2.具备扎实的编程功底，熟悉数据结构与算法，熟悉C/C++/Pytho/Go/Rust等至少一门主流编程语言；3.良好的英语阅读能力和快速学习能力；4.具备良好的沟通能力及团队协作能力；5.了解区块链原理或Solidity智能合约编写者优先。
艾大,Java工程师（实习）,4k-8k,上海,"张江
<br>或者长宁中山公园",经验应届毕业生,本科及以上,"职位描述：1.计算机相关专业，大四或者研二实习生；2.有Java实习或开发经验优先；3.掌握一种编程语言，Java或者Pytho优先；4.Oracle等数据库系统，有DBA工作经验者优先；5.了解Liux操作系统及Shell/Perl脚本，对计算机系统、网络和安全、存储、中间件、HA等有一定的认识，有性能优化经验者优先；6.了解SOA架构，WebSphereMQ,ActiveMQ等JMS技术；7.了解Hadoop/Spark的系统架构设计；理解大数据处理技术（流计算、分布式计算、分布式存储等）及实现方法，有大规模分布式系统经验者优先；8.能够快速学习新技术，跟踪技术发展趋势；9.具备良好的表达和沟通能力，善于解决问题，能够承受较大的工作压力10.实习期要求半年以上，并且能长期留在上海优先。11.该实习岗位考虑留用，短期实习勿扰"
直觉,软件开发实习生后端,4k-5k,上海,张江高科技园区香楠路408弄25号501,经验应届毕业生,本科及以上,职位描述：职位要求：1.本科及以上学历，理工类专业，酷爱编程；2.熟练掌握C/C++、Java或Pytho语言中的一种，掌握常用算法；3.熟悉Uix/Liux系统，有相关开发经验者佳；4.喜欢接触新技术并有学习兴趣和快速学习的能力；5.有较强的解决实际问题的能力和团队沟通合作能力；
瞬联软件科技（北京）有限公司,软件测试（通信）,8k-15k,上海,宁桥路388号,经验应届毕业生,本科及以上,"职位描述：GeeralDescriptio:ThepositioistoperformsystemtestforOTNproduct,toaalyzeproductrequiremet,todesigtestscearioadtestcase,toexecutetestcaseaddeliverhighqualityproduct.Thepositioisalsoeededtodevelopautomatiotestscriptstoicreasetestcapability,coverage,scopeadefficiecy.2Resposibilities:Aalyze,desigadexecutetestcasesforOTNproductsDevelopaddeployautomatiotestscriptotheproductaddebugtheproblems3Qualificatios:BachelororhigherdegreeiTelecommuicatioorequivaletAtleast2-yeartelecom-relatedexperiece.Programmigskillsiatleastoeofthefollowiglaguages:TCL,Pytho,Perl,PHP,Java,C,C++KowaboutHTML,XML,JavaScriptisaplus.KowaboutUNIX/LiuxExperieceofautomatiotestforOTN/WDM/SDH/SONET/L2orL3Dataproductsisabigplus.TestexperieceoOTN/WDM,SDH/SONETorDateproductsExperieceotestistrumet(JDSU,IXIA,etc.).Havestrogproblem-solvigability,beabletofidsolutiostotechicalproblemsGoodwritteadverbalcommuicatioskills(ibothEglishadChiese)"
大搜车,Java实习生（上海）07-02-04,3k-5k,上海,协和路1033号文洋大厦B栋2楼,经验应届毕业生,学历不限,职位描述：【岗位职责】1.负责所属产品线的基本TC设计与功能测试；2.反馈产品问题或流程问题积极推进问题解决；3.整理产品测试文档。【任职要求】1.2019届本科及以上学历，计算机或相关专业毕业；2.具备基础的Web知识和移动知识；3.熟悉软件的开发测试流程，掌握常用测试用例设计方法；4.具备编码能力者优先（java、pytho、shell）；5.乐于沟通和表达，注重团队合作，具备良好的抗压能力；7.能全职上班者优先。
平安科技,大数据算法研究/工程实习生JD,6k-7k,上海,崂山路316号,经验应届毕业生,硕士及以上,职位描述：职责描述（5选2）：1、协助追踪推荐算法、知识图谱、NLP等前沿技术和Paper，定期Summary。2、协助探索集成模型(W&D、DeepFM、gcForest等）在综合金融风控和营销场景的落地。3、协助基于PySpark、Tesorflow、Yar、ToY的数据挖掘工具&算法池的研发。4、协助NLP技术（文本意图识别、文本分类、词向量生成）落地在信息安全领域。5、协助构建综金产品画像和知识图谱，并探索在渠道、客户、产品冷启动问题的价值变现。职位要求：1、985/211院校计算机、数统相关理工专业硕士，有个人githubrepo者优先考虑。2、至少熟练掌握1种主流大数据框架(Hive/Hadoop/Spark、Tesorflow、ToY等)；3、优秀的工程化编程能力与算法研究能力，熟练掌握Pytho，熟悉liux、git等常规工具。4、清晰&准确的自我编程能力认知薪酬待遇及时间要求：研究生一天300(税后)，实习地点在上海世纪大道地铁站附近。
ADI,软件实习生（北京/上海）,5k-6k,上海,上海市浦东新区上海高科技园区祖冲之路2290号展想广场5楼,经验应届毕业生,硕士及以上,"职位描述：职位名称：PCSoftwareIter工作地点：Beijig/Shaghai职位描述：JobDescriptio：lWorkwithAalogDevices’ApplicatiosEgieersosoftwaredebug,developmet,adcharacterizatiooftheidustrysesorproduct.lDebugorimprovethePCbasedsoftwareGUItoevaluateproductperformaceadfuctioality,performcircuitsimulatio,adaalyzedata.lUderstadsystemrequiremetadimplemetfuctiowithschedule.lTesttargetsoftwareforfuctioadlogtimereliability.RequiredadPreferredSkills：lStroglypreferred:Basicuderstadigofhardwareadrelatedfirmwarearchitecture.lRequired:ExperieceiPythoadVisualStudioC++/C#.lRequired:Experiecewithsoftwaretestadverificatio.lRequired:Basickowledgeomathematicmodeligkowledge.lRequired:Previoushads-oexperieceiaegieeriglabeviromet.lRequired:Thecadidatemustbeself-startigwithastrogmotivatio.lPreferred:Strogself-studycapacityadadapttoewapplicatio.lPreferred:Goodatdatabaseadetworkapplicatiodevelopmet.lPreferred:Goodcommuicatioskill.lEducatioLevel:BachelororMasterdegreelTravelRequired:NolLocatioRequired:BeijigorShaghai"
唯衣科技,深度学习算法工程师实习生,2k-4k,上海,上海市宜山路2000号利丰广场利程坊,经验应届毕业生,学历不限,职位描述：实习预期收获：•首席科学家和资深算法工程师带队，参与人工智能产品的算法研发全过程。•通过实际项目实践，学习知识、增长能力、倍增自己的身价、未来有广阔的发展机会。•从入门到精通，具备深度学习算法实战能力，实现从小白到独当一面能手的快速成长。工作内容：•服从公司的发展要求，配合公司的工作安排；•负责公司服装时尚相关深度学习算法的开发；•参与公司所用算法的优化和升级，以及算法效能测试，产品集成；•可以用业余时间参与算法研发，不影响学业任职要求：•年满18岁，本科以上学历，专业不限；•对人工智能技术有浓厚的兴趣，并有打算从事深度学习算法研发的意向；•吃苦耐劳，有一定的自我约束和控制能力，意志力坚强；•逻辑能力较强，有较强的抗压力和高度的责任感；•欢迎深度学习算法零基础的同学，公司会安排必要的技术培训。具备以下条件者优先：•计算机、数学、图像处理、模式识别等相关专业，具有扎实的线性代数、概率论、统计学等数学知识。•具有计算机视觉领域项目研究经历，熟悉opecv等图像处理工具，熟悉常用的图像处理方法。•精通至少一种深度学习框架，如caffe、tesorflow等，对深度学习网络模型训练有深刻的理解，熟悉常用CNN、FCN、RNN等深度学习网络模型。•具备扎实的机器学习算法基础，熟练应用SVM、决策树、随机森林等常用的机器学习算法并理解其原理。•代码能力较强，精通pytho语言，英语水平良好，能够熟练阅读深度学习相关英文论文文献。
微问家,实习算法工程师-自然语言处...,12k-20k,上海,上海市申江路5005弄星创科技广场3楼302,经验应届毕业生,硕士及以上,职位描述：职位描述：实习岗位，招在读硕士、博士。岗位职责：1、设计与优化智能问答系统；2、优化商业搜索引擎中的语义理解。岗位要求：1、自然语言处理方向2年以上研究或工作经验，如分词、词性标注、实体识别、情感分析；2、熟悉机器学习算法，熟悉文本语义分析算法；熟悉中文分词标注、文本分类、语言模型、知识库挖掘等NLP相关算法；3、精通Java或者Pytho，4、有良好的沟通和团队合作能力；5、有NLP方向开发经验；从事过实际爬虫开发、内容提取工作经验者优先；
韩创科技,图像算法实习生,10k-20k,上海,碧波路690号1号楼2座102,经验应届毕业生,本科及以上,职位描述：职位描述：工作内容：主攻图像方面的算法分析、设计和实现。包括但不限于：目标识别、图像分割等领域。岗位职责：1.图像处理、模式识别、计算机视觉、机器学习等相关专业，硕士及以上学历；2.熟练使用C++和Pytho，熟练opecv等主流图像处理库3.在深度学习、计算机视觉方向深入研究，掌握至少一种深度学习框架；4.深入理解目标检测识别、图像分割等算法；
寻找母星,数据分析BI实习生,2k-4k,上海,田林路418号乐业天地203室,经验应届毕业生,本科及以上,职位描述：职位职责：1.协助构建业务指标体系，建立和完善日常业务报告体系，能够及时、准确、完整的披露项目的运作情况；2.通过专项分析，输出专项分析报告，为业务模块的决策和产品方向提供数据支持；3.能够持续动态的挖掘日常的业务数据，发现业务的风险和机会点。基本要求：1.本科就读于985大学，本科或以上学历，计算机、软件或电子相关专业；2.精通SQL，熟悉Pytho/PHP等脚本语言，能独立完成相关的数据分析工作3.具备良好的沟通交流能力和文字语言表达能力，较好的逻辑分析能力加分项：和产品、运营一同有过产品周期运营，并协助产品、运营分析和改进产品功能者优先
云鹊医疗,数据分析实习,3k-4k,上海,兰花路333号世纪大厦,经验应届毕业生,学历不限,职位描述：1.协助公司平台/产品中数据预处理、可视化、统计建模等分析内容的设计和实现，协同数据分析师、数据开发人员等设计完善公司平台/产品的逻辑、架构与功能；2.支撑项目需求，协助项目过程中数据梳理、数据预处理、统计建模、可视化等一系列分析内容的设计、实现与汇报。认知要求：1.本科三年级及以上，统计、数学、信息管理、计算机等相关专业优先；2.具备一定的数据基础（SQL、R、Pytho、SPSS等），有相关项目经验者优先；3.逻辑清晰，思维缜密；
字节跳动,后端开发实习生-大数据平台,6k-10k,上海,裕德路126号氪空间,经验不限,本科及以上,职位描述：职位职责：1、负责今日头条大数据平台web后端开发；2、负责数据产品的功能迭代和性能优化，考验api实现；3、开放的环境，metor带你度过磨合期；4、有转正的机会。职位要求：1、计算机、软件相关专业；2、熟练掌握Pytho/c/c++中的一种或多种，Pytho优先；3、对web开发和http协议有一定了解，有基本的web应用开发能力，熟悉gix等webserver搭建，熟悉Djago，Flask者优先；4、熟练掌握数据库相关知识和基础操作，至少熟练使用mysql；5、有强烈的求知欲和进取心，具有扎实的编程功底，良好的设计能力和编程习惯。加分项：1、熟悉web前端技术，对html、javascript、ajax、jquery有了解者优先2、有Github账号并有项目；3、能够长期实习并有转正意向的优先。
哈啰出行,【暑期实习生】运维技术支持(...,3k-6k,上海,秀文路898号西子国际中心,经验应届毕业生,本科及以上,职位描述：工作职责:1.负责办公内网相关的维护与支持；2.负责服务器及业务系统的运维支持；3.负责其它团队对技术支持的需求响应并处理；任职资格:1.2020届，计算机相关专业者优先；2.学习能力强，工作主动，踏实认真；3..熟悉网络，liux系统，会pytho者优先；
ADI,嵌入式软件实习生（上海）,5k-6k,上海,上海市浦东新区上海高科技园区祖冲之路2290号展想广场5楼,经验应届毕业生,硕士及以上,职位描述：职位名称：嵌入式软件实习生工作地点：上海岗位描述：l使用C在ARM或者DSP上开发底层或接口驱动，完成基本任务调度。l使用matlab，pytho在不同平台上实现数据分析。岗位要求：l计算机/控制/电子/通信类相关专业。l具备扎实的嵌入式软件开发调试优化经验，熟悉嵌入式处理器接口驱动，有项目实践经验者优先。l熟悉ROS，有项目实践经验者优先。l表现优秀者有留用机会。
数旦信息,算法实习生,5k-6k,上海,钦州路100号,经验应届毕业生,本科及以上,职位描述：【岗位职责】1、负责业务相关的算法设计、开发、性能优化和单元测试2、负责算法相关的数据处理3、负责算法相关文档编写【任职要求】1、全日制本科及以上学历，计算机、数学或相关专业2、熟悉机器学习基本算法（分类、聚类、神经网络等）3、熟悉Pytho，编程功底扎实4、具备扎实的数学理论基础5、具备极强的编程能力、学习能力和抗压能力6、国家级技术类竞赛（如数学建模、ACM）一等奖获奖者优先7、可连续实习半年以上
平安健康保险,运维工程师（实习）,3k-4k,上海,凯滨路199号,经验应届毕业生,本科及以上,职位描述：1、负责海量服务器的交付、日常监控以性能调优；2、解决各类疑难技术问题、故障处理；3、系统重要规则制订、资源规划；4、系统的效率优化、维护；5、前沿技术研究、新产品规划。岗位要求：1、扎实的计算机相关专业学识基础；2、熟悉PL/SQL、Oracle数据库、liux/Uix、weblogic优先；3、了解J2EE或Liux系统维护者优先；4、对dorker技术、云计算、pytho等一定了解者优先；5、有出色的责任心、主动性，善于沟通、与他人合作;6、较好学习及人际沟通能力，乐观、灵活、机智的处事方式
